,epochs,Hp
0,0,0.1839503
1,1,0.18404372
2,2,0.18411711
3,3,0.18418443
4,4,0.18425761
5,5,0.18433481
6,6,0.18441609
7,7,0.18450074
8,8,0.18458816
9,9,0.18467821
10,10,0.18477114
11,11,0.1848659
12,12,0.18495671
13,13,0.18503465
14,14,0.18509635
15,15,0.18515062
16,16,0.18520562
17,17,0.1852638
18,18,0.18532568
19,19,0.18539141
20,20,0.18546078
21,21,0.1855333
22,22,0.18560845
23,23,0.1856855
24,24,0.18576378
25,25,0.18584242
26,26,0.18592054
27,27,0.18599719
28,28,0.18607152
29,29,0.186143
30,30,0.18621159
31,31,0.18627745
32,32,0.18634085
33,33,0.18640193
34,34,0.18646061
35,35,0.18651667
36,36,0.18656996
37,37,0.18662064
38,38,0.18666929
39,39,0.18671684
40,40,0.1867641
41,41,0.18681173
42,42,0.18685997
43,43,0.18690878
44,44,0.18695801
45,45,0.18700746
46,46,0.18705699
47,47,0.1871066
48,48,0.18715627
49,49,0.18720604
50,50,0.18725586
51,51,0.18730563
52,52,0.18735515
53,53,0.18740419
54,54,0.1874526
55,55,0.18750033
56,56,0.18754746
57,57,0.18759413
58,58,0.18764049
59,59,0.18768653
60,60,0.18773212
61,61,0.18777698
62,62,0.18782072
63,63,0.18786295
64,64,0.18790336
65,65,0.18794186
66,66,0.18797852
67,67,0.1880135
68,68,0.18804686
69,69,0.18807852
70,70,0.18810819
71,71,0.18813546
72,72,0.18815997
73,73,0.18818149
74,74,0.18820001
75,75,0.18821579
76,76,0.18822919
77,77,0.18824056
78,78,0.18825015
79,79,0.18825819
80,80,0.18826471
81,81,0.18826973
82,82,0.1882732
83,83,0.1882751
84,84,0.18827544
85,85,0.18827432
86,86,0.1882719
87,87,0.18826832
88,88,0.18826383
89,89,0.18825862
90,90,0.18825285
91,91,0.18824667
92,92,0.1882402
93,93,0.18823357
94,94,0.18822685
95,95,0.1882202
96,96,0.18821374
97,97,0.18820755
98,98,0.18820177
99,99,0.18819645
100,100,0.18819168
101,101,0.18818752
102,102,0.18818402
103,103,0.18818124
104,104,0.18817917
105,105,0.18817781
106,106,0.18817706
107,107,0.18817684
108,108,0.18817702
109,109,0.18817744
110,110,0.18817797
111,111,0.18817854
112,112,0.18817908
113,113,0.1881796
114,114,0.18818012
115,115,0.18818073
116,116,0.18818146
117,117,0.18818238
118,118,0.18818352
119,119,0.18818483
120,120,0.18818633
121,121,0.188188
122,122,0.18818977
123,123,0.18819165
124,124,0.18819363
125,125,0.1881957
126,126,0.18819788
127,127,0.18820016
128,128,0.18820257
129,129,0.1882051
130,130,0.1882077
131,131,0.18821041
132,132,0.18821317
133,133,0.18821602
134,134,0.18821892
135,135,0.1882219
136,136,0.18822496
137,137,0.1882281
138,138,0.18823133
139,139,0.18823469
140,140,0.18823813
141,141,0.1882417
142,142,0.18824542
143,143,0.18824926
144,144,0.18825325
145,145,0.1882574
146,146,0.18826167
147,147,0.1882661
148,148,0.18827067
149,149,0.1882754
150,150,0.18828028
151,151,0.18828535
152,152,0.1882906
153,153,0.18829603
154,154,0.18830165
155,155,0.18830748
156,156,0.18831348
157,157,0.18831968
158,158,0.1883261
159,159,0.18833274
160,160,0.18833959
161,161,0.18834667
162,162,0.18835399
163,163,0.18836154
164,164,0.18836932
165,165,0.18837732
166,166,0.18838552
167,167,0.18839392
168,168,0.18840252
169,169,0.1884113
170,170,0.18842025
171,171,0.18842939
172,172,0.18843867
173,173,0.18844813
174,174,0.18845776
175,175,0.18846752
176,176,0.18847744
177,177,0.18848751
178,178,0.18849772
179,179,0.18850808
180,180,0.18851857
181,181,0.18852918
182,182,0.1885399
183,183,0.18855076
184,184,0.18856171
185,185,0.18857278
186,186,0.18858393
187,187,0.18859518
188,188,0.1886065
189,189,0.1886179
190,190,0.18862937
191,191,0.18864092
192,192,0.18865256
193,193,0.18866429
194,194,0.18867612
195,195,0.18868802
196,196,0.18870002
197,197,0.18871209
198,198,0.1887242
199,199,0.18873636
200,200,0.18874854
201,201,0.18876074
202,202,0.18877298
