,epochs,SY0
0,0,0.4285874
1,1,0.4284453
2,2,0.4283361
3,3,0.42825195
4,4,0.42811817
5,5,0.428004
6,6,0.42791376
7,7,0.42783582
8,8,0.42777273
9,9,0.4277162
10,10,0.42766696
11,11,0.42762488
12,12,0.4275888
13,13,0.4275575
14,14,0.42753196
15,15,0.42751324
16,16,0.42749843
17,17,0.42748275
18,18,0.42744097
19,19,0.4273728
20,20,0.42730552
21,21,0.42724898
22,22,0.42720374
23,23,0.42716965
24,24,0.42714566
25,25,0.42712653
26,26,0.42710385
27,27,0.4270608
28,28,0.4270029
29,29,0.42694637
30,30,0.42689595
31,31,0.42685273
32,32,0.4268163
33,33,0.42678487
34,34,0.42675483
35,35,0.42671993
36,36,0.42667502
37,37,0.42662412
38,38,0.42657417
39,39,0.42652953
40,40,0.42649177
41,41,0.42646003
42,42,0.42643118
43,43,0.42640024
44,44,0.42636257
45,45,0.42631856
46,46,0.42627338
47,47,0.42623112
48,48,0.42619345
49,49,0.42615977
50,50,0.4261275
51,51,0.42609254
52,52,0.42605188
53,53,0.42600718
54,54,0.4259626
55,55,0.42592135
56,56,0.42588428
57,57,0.4258501
58,58,0.42581588
59,59,0.42577866
60,60,0.42573807
61,61,0.42569667
62,62,0.42565736
63,63,0.42562145
64,64,0.4255884
65,65,0.42555624
66,66,0.42552269
67,67,0.4254869
68,68,0.42544997
69,69,0.42541385
70,70,0.4253799
71,71,0.42534807
72,72,0.4253173
73,73,0.42528582
74,74,0.42525256
75,75,0.42521775
76,76,0.42518282
77,77,0.42514908
78,78,0.42511696
79,79,0.42508584
80,80,0.42505464
81,81,0.42502245
82,82,0.42498937
83,83,0.42495638
84,84,0.42492443
85,85,0.42489392
86,86,0.4248644
87,87,0.4248351
88,88,0.42480528
89,89,0.42477494
90,90,0.42474467
91,91,0.42471504
92,92,0.42468643
93,93,0.42465866
94,94,0.42463127
95,95,0.4246037
96,96,0.42457578
97,97,0.42454764
98,98,0.42451975
99,99,0.4244924
100,100,0.42446563
101,101,0.42443922
102,102,0.42441294
103,103,0.4243866
104,104,0.42436028
105,105,0.42433417
106,106,0.42430842
107,107,0.4242831
108,108,0.42425808
109,109,0.4242332
110,110,0.42420843
111,111,0.42418373
112,112,0.42415926
113,113,0.42413518
114,114,0.42411155
115,115,0.42408836
116,116,0.42406553
117,117,0.42404288
118,118,0.42402038
119,119,0.42399797
120,120,0.4239757
121,121,0.4239536
122,122,0.42393163
123,123,0.42390975
124,124,0.42388785
125,125,0.42386582
126,126,0.42384356
127,127,0.4238211
128,128,0.42379838
129,129,0.42377546
130,130,0.42375234
131,131,0.42372903
132,132,0.42370552
133,133,0.42368177
134,134,0.4236579
135,135,0.42363393
136,136,0.42360997
137,137,0.423586
138,138,0.4235621
139,139,0.4235382
140,140,0.42351437
141,141,0.4234906
142,142,0.42346695
143,143,0.42344344
144,144,0.42342004
145,145,0.42339677
146,146,0.42337364
147,147,0.42335063
148,148,0.4233278
149,149,0.4233051
150,150,0.42328253
151,151,0.42326012
152,152,0.4232378
153,153,0.42321554
154,154,0.4231934
155,155,0.42317128
156,156,0.4231493
157,157,0.42312732
158,158,0.42310542
159,159,0.42308357
160,160,0.42306176
161,161,0.42304006
162,162,0.42301843
163,163,0.4229969
164,164,0.4229755
165,165,0.4229542
166,166,0.422933
167,167,0.4229119
168,168,0.42289096
169,169,0.4228701
170,170,0.42284933
171,171,0.42282864
172,172,0.42280808
173,173,0.4227876
174,174,0.4227672
175,175,0.42274693
176,176,0.42272675
177,177,0.42270663
178,178,0.42268664
179,179,0.42266673
180,180,0.42264688
181,181,0.42262712
182,182,0.42260742
183,183,0.42258775
184,184,0.42256814
185,185,0.4225486
186,186,0.4225291
187,187,0.42250967
188,188,0.4224903
189,189,0.422471
190,190,0.42245173
191,191,0.42243254
192,192,0.42241344
193,193,0.4223944
194,194,0.42237544
195,195,0.42235655
196,196,0.42233774
197,197,0.422319
198,198,0.42230034
199,199,0.42228174
200,200,0.42226323
201,201,0.42224482
202,202,0.42222646
203,203,0.4222082
204,204,0.42218998
205,205,0.4221719
206,206,0.42215392
207,207,0.42213604
208,208,0.4221183
209,209,0.42210063
210,210,0.42208308
211,211,0.42206556
212,212,0.4220481
213,213,0.4220307
214,214,0.42201334
215,215,0.4219961
216,216,0.42197892
217,217,0.42196178
218,218,0.42194474
219,219,0.42192772
220,220,0.42191073
221,221,0.42189386
222,222,0.421877
223,223,0.42186016
224,224,0.42184335
225,225,0.42182654
226,226,0.4218097
227,227,0.4217928
228,228,0.4217758
229,229,0.42175865
230,230,0.42174128
231,231,0.42172363
232,232,0.4217055
233,233,0.42168662
234,234,0.42166618
235,235,0.4216421
236,236,0.42160532
237,237,0.42148226
238,238,0.4214052
239,239,0.42143658
240,240,0.4215027
241,241,0.42147145
242,242,0.42137912
243,243,0.42129287
244,244,0.4212308
245,245,0.42119676
246,246,0.42118195
247,247,0.4211785
248,248,0.42112774
249,249,0.42103615
250,250,0.42098007
251,251,0.4209494
252,252,0.4209273
253,253,0.4208608
254,254,0.42078668
255,255,0.42072976
256,256,0.42069018
257,257,0.42066
258,258,0.42062473
259,259,0.42058852
260,260,0.42055953
261,261,0.4205376
262,262,0.4205192
263,263,0.4204998
264,264,0.4204766
265,265,0.42045105
266,266,0.4204264
267,267,0.4204049
268,268,0.42038763
269,269,0.42037573
270,270,0.4203675
271,271,0.4203609
272,272,0.4203539
273,273,0.4203442
274,274,0.42032975
275,275,0.42031264
276,276,0.4202959
277,277,0.4202807
278,278,0.4202667
279,279,0.42025244
280,280,0.42023578
281,281,0.42021522
282,282,0.42019108
283,283,0.42016712
284,284,0.42014652
285,285,0.4201343
286,286,0.42012486
287,287,0.42010486
288,288,0.42007333
289,289,0.4200437
290,290,0.42002317
291,291,0.4200123
292,292,0.42000914
293,293,0.4200081
294,294,0.41999862
295,295,0.41997436
296,296,0.41994798
297,297,0.4199281
298,298,0.41991663
299,299,0.41991138
300,300,0.41990685
301,301,0.41989568
302,302,0.41987678
303,303,0.4198579
304,304,0.41984344
305,305,0.41983455
306,306,0.41983008
307,307,0.41982508
308,308,0.41981566
309,309,0.41980368
310,310,0.4197931
311,311,0.4197865
312,312,0.41978392
313,313,0.4197823
314,314,0.41977713
315,315,0.4197665
316,316,0.41975337
317,317,0.41974196
318,318,0.4197338
319,319,0.41972733
320,320,0.41972
321,321,0.41971043
322,322,0.4196996
323,323,0.4196901
324,324,0.4196829
325,325,0.41967714
326,326,0.41967082
327,327,0.41966173
328,328,0.41965055
329,329,0.4196395
330,330,0.41963002
331,331,0.41962212
332,332,0.41961437
333,333,0.41960537
334,334,0.4195952
335,335,0.41958505
336,336,0.41957614
