,t,gamma
0,0.0,2.3715497e-06
1,0.01,2.4499893e-06
2,0.02,2.5010706e-06
3,0.03,2.5265217e-06
4,0.04,2.5285483e-06
5,0.05,2.5075676e-06
6,0.06,2.4675728e-06
7,0.07,2.4089218e-06
8,0.08,2.3342968e-06
9,0.09,2.2464396e-06
10,0.1,2.1471978e-06
11,0.11,2.0393134e-06
12,0.12,1.9251704e-06
13,0.13,1.806438e-06
14,0.14,1.6872287e-06
15,0.15,1.5704037e-06
16,0.16,1.4587641e-06
17,0.17,1.3569594e-06
18,0.18,1.2696983e-06
19,0.19,1.2051464e-06
20,0.2,1.1730791e-06
21,0.21,1.1882782e-06
22,0.22,1.2725592e-06
23,0.23,1.4558435e-06
24,0.24,1.7805696e-06
25,0.25,2.300501e-06
26,0.26,3.0828717e-06
27,0.27,4.1918756e-06
28,0.28,5.674541e-06
29,0.29,7.5176363e-06
30,0.3,9.609759e-06
31,0.31,1.1709333e-05
32,0.32,1.3483823e-05
33,0.33,1.4640243e-05
34,0.34,1.5087098e-05
35,0.35,1.5011609e-05
36,0.36,1.4772595e-05
37,0.37,1.4696241e-05
38,0.38,1.4949472e-05
39,0.39,1.555571e-05
40,0.4,1.6473443e-05
41,0.41,1.7663986e-05
42,0.42,1.9110472e-05
43,0.43,2.0816953e-05
44,0.44,2.2796274e-05
45,0.45,2.5063397e-05
46,0.46,2.763063e-05
47,0.47,3.0506106e-05
48,0.48,3.369266e-05
49,0.49,3.719196e-05
50,0.5,4.099998e-05
51,0.51,4.5110526e-05
52,0.52,4.9516322e-05
53,0.53,5.42087e-05
54,0.54,5.9178474e-05
55,0.55,6.4417036e-05
56,0.56,6.991646e-05
57,0.57,7.5670396e-05
58,0.58,8.167437e-05
59,0.59,8.792639e-05
60,0.6,9.442461e-05
61,0.61,0.00010117052
62,0.62,0.00010816843
63,0.63,0.0001154244
64,0.64,0.00012294353
65,0.65,0.00013073553
66,0.66,0.00013880903
67,0.67,0.00014717504
68,0.68,0.0001558443
69,0.69,0.00016482783
70,0.7,0.0001741367
71,0.71,0.00018378184
72,0.72,0.00019377159
73,0.73,0.00020411504
74,0.74,0.0002148165
75,0.75,0.0002258818
76,0.76,0.00023730914
77,0.77,0.00024909616
78,0.78,0.00026123537
79,0.79,0.00027371504
80,0.8,0.0002865194
81,0.81,0.00029962792
82,0.82,0.0003130137
83,0.83,0.00032665065
84,0.84,0.00034050902
85,0.85,0.000354556
86,0.86,0.0003687618
87,0.87,0.0003830984
88,0.88,0.00039753926
89,0.89,0.00041206356
90,0.9,0.00042665345
91,0.91,0.000441291
92,0.92,0.00045596188
93,0.93,0.00047064904
94,0.94,0.0004853353
95,0.95,0.0005000122
96,0.96,0.0005146771
97,0.97,0.000529292
98,0.98,0.00054358545
99,0.99,0.00055653014
100,1.0,0.00056555396
101,1.0,0.00056555396
102,1.02,0.00056598394
103,1.04,0.0005659393
104,1.06,0.0005637204
105,1.08,0.0005625602
106,1.1,0.0005617595
107,1.12,0.0005609899
108,1.14,0.0005601424
109,1.16,0.00055915496
110,1.18,0.0005580008
111,1.2,0.00055669085
112,1.22,0.00055525725
113,1.24,0.00055374135
114,1.26,0.0005521838
115,1.28,0.0005506188
116,1.3,0.00054907065
117,1.32,0.00054755906
118,1.34,0.00054609636
119,1.36,0.0005446878
120,1.38,0.0005433359
121,1.4,0.0005420399
122,1.42,0.0005407963
123,1.44,0.00053960015
124,1.46,0.00053844624
125,1.48,0.00053732865
126,1.5,0.00053624035
127,1.52,0.0005351752
128,1.54,0.0005341279
129,1.56,0.0005330922
130,1.58,0.000532063
131,1.6,0.0005310353
132,1.62,0.0005300056
133,1.64,0.0005289686
134,1.66,0.00052792195
135,1.68,0.0005268632
136,1.7,0.0005257885
137,1.72,0.0005246977
138,1.74,0.0005235896
139,1.76,0.0005224631
140,1.78,0.0005213207
141,1.8,0.00052016584
142,1.82,0.00051900366
143,1.84,0.0005178425
144,1.86,0.000516697
145,1.88,0.00051558256
146,1.9,0.00051451876
147,1.92,0.0005135256
148,1.94,0.000512615
149,1.96,0.0005117779
150,1.98,0.00051096734
151,2.0,0.0005100783
152,2.02,0.0005089433
153,2.04,0.00050739007
154,2.06,0.00050544116
155,2.08,0.00050370477
156,2.1,0.00050322583
157,2.12,0.0005033535
158,2.14,0.00050222134
159,2.16,0.0005009413
160,2.18,0.00050043524
161,2.2,0.0005002992
162,2.22,0.0004997126
163,2.24,0.00049827003
164,2.26,0.00049606414
165,2.28,0.0004933926
166,2.3,0.00049057987
167,2.32,0.00048790866
168,2.34,0.00048561045
169,2.36,0.00048387187
170,2.38,0.000482847
171,2.4,0.0004826628
172,2.42,0.00048343133
173,2.44,0.00048525745
174,2.46,0.00048823922
175,2.48,0.00049247476
176,2.5,0.0004980657
177,2.52,0.0005051165
178,2.54,0.0005137356
179,2.56,0.0005240358
180,2.58,0.00053613266
181,2.6,0.0005501361
182,2.62,0.00056614797
183,2.64,0.0005842564
184,2.66,0.0006045121
185,2.68,0.00062692346
186,2.7,0.0006514285
187,2.72,0.00067787414
188,2.74,0.00070600025
189,2.76,0.0007354228
190,2.78,0.0007656568
191,2.8,0.00079615664
192,2.82,0.0008264255
193,2.84,0.0008561504
194,2.86,0.0008853467
195,2.88,0.00091441715
196,2.9,0.000943994
197,2.92,0.00097454805
198,2.94,0.0010060563
199,2.96,0.0010383953
200,2.98,0.0010710736
201,3.0,0.0010944848
202,3.0,0.0010944848
203,3.02,0.0010974727
204,3.04,0.0010949296
205,3.06,0.0010948249
206,3.08,0.0010942915
207,3.1,0.0010925012
208,3.12,0.0010905643
209,3.14,0.0010891143
210,3.16,0.0010881976
211,3.18,0.0010876398
212,3.2,0.0010872547
213,3.22,0.0010869042
214,3.24,0.0010865025
215,3.26,0.0010860023
216,3.28,0.001085388
217,3.3,0.0010846601
218,3.32,0.001083828
219,3.34,0.0010829101
220,3.36,0.0010819252
221,3.38,0.001080894
222,3.4,0.0010798391
223,3.42,0.0010787764
224,3.44,0.001077726
