,epochs,lmbd
0,0,0.5602166
1,1,0.56046355
2,2,0.5607122
3,3,0.56095874
4,4,0.5611998
5,5,0.56143224
6,6,0.5616533
7,7,0.5618613
8,8,0.5620554
9,9,0.56223667
10,10,0.56240726
11,11,0.5625706
12,12,0.5627305
13,13,0.56289047
14,14,0.56305337
15,15,0.56322086
16,16,0.563393
17,17,0.56356895
18,18,0.56374633
19,19,0.5639223
20,20,0.56409353
21,21,0.5642568
22,22,0.5644095
23,23,0.56455016
24,24,0.5646789
25,25,0.564797
26,26,0.5649073
27,27,0.56501305
28,28,0.5651175
29,29,0.5652236
30,30,0.56533265
31,31,0.56544477
32,32,0.56555855
33,33,0.5656715
34,34,0.56578064
35,35,0.56588304
36,36,0.56597626
37,37,0.5660591
38,38,0.56613153
39,39,0.5661949
40,40,0.5662513
41,41,0.5663034
42,42,0.5663537
43,43,0.566404
44,44,0.56645495
45,45,0.566506
46,46,0.5665556
47,47,0.5666016
48,48,0.56664157
49,49,0.5666739
50,50,0.5666981
51,51,0.5667145
52,52,0.5667249
53,53,0.5667314
54,54,0.5667363
55,55,0.56674147
56,56,0.5667479
57,57,0.5667554
58,58,0.5667628
59,59,0.5667683
60,60,0.56676984
61,61,0.5667658
62,62,0.5667552
63,63,0.5667382
64,64,0.56671566
65,65,0.56668943
66,66,0.5666612
67,67,0.5666325
68,68,0.56660444
69,69,0.56657726
70,70,0.5665506
71,71,0.5665239
72,72,0.56649643
73,73,0.5664679
74,74,0.5664383
75,75,0.566408
76,76,0.5663774
77,77,0.56634706
78,78,0.5663173
79,79,0.56628823
80,80,0.5662596
81,81,0.56623113
82,82,0.56620216
83,83,0.56617266
84,84,0.56614244
85,85,0.5661115
86,86,0.56608003
87,87,0.5660481
88,88,0.5660159
89,89,0.56598353
90,90,0.56595117
91,91,0.56591874
92,92,0.5658864
93,93,0.5658541
94,94,0.56582177
95,95,0.56578946
96,96,0.5657571
97,97,0.5657245
98,98,0.56569165
99,99,0.5656586
100,100,0.5656255
101,101,0.5655924
102,102,0.5655596
103,103,0.56552714
104,104,0.56549495
105,105,0.5654632
106,106,0.5654317
107,107,0.56540036
108,108,0.56536907
109,109,0.5653379
110,110,0.5653067
111,111,0.5652756
112,112,0.5652446
113,113,0.5652138
114,114,0.56518316
115,115,0.56515276
116,116,0.56512254
117,117,0.5650924
118,118,0.56506234
119,119,0.5650325
120,120,0.5650028
121,121,0.5649735
122,122,0.5649445
123,123,0.5649161
124,124,0.5648881
125,125,0.56486076
126,126,0.5648337
127,127,0.56480706
128,128,0.56478065
129,129,0.56475466
130,130,0.56472903
131,131,0.5647037
132,132,0.5646788
133,133,0.56465423
134,134,0.5646301
135,135,0.56460625
136,136,0.5645827
137,137,0.5645595
138,138,0.5645367
139,139,0.5645143
140,140,0.5644923
141,141,0.5644709
142,142,0.5644499
143,143,0.56442934
144,144,0.5644092
145,145,0.5643892
146,146,0.5643696
147,147,0.56435037
148,148,0.56433135
149,149,0.56431264
150,150,0.56429446
151,151,0.5642766
152,152,0.5642589
153,153,0.5642415
154,154,0.56422436
155,155,0.56420743
156,156,0.5641907
157,157,0.5641742
158,158,0.56415784
159,159,0.5641418
160,160,0.564126
161,161,0.56411046
162,162,0.56409514
163,163,0.56408
164,164,0.56406504
165,165,0.5640502
166,166,0.5640356
167,167,0.5640212
168,168,0.5640071
169,169,0.56399316
170,170,0.56397945
171,171,0.56396586
172,172,0.56395245
173,173,0.5639392
174,174,0.5639261
175,175,0.5639133
176,176,0.56390053
177,177,0.563888
178,178,0.5638757
179,179,0.56386346
180,180,0.5638514
181,181,0.5638395
182,182,0.5638277
183,183,0.56381613
184,184,0.56380475
185,185,0.5637936
186,186,0.5637827
187,187,0.56377196
188,188,0.56376123
189,189,0.5637506
190,190,0.5637401
191,191,0.56372964
192,192,0.5637194
193,193,0.5637093
194,194,0.5636993
195,195,0.5636895
196,196,0.5636797
197,197,0.56367004
198,198,0.5636605
199,199,0.56365097
200,200,0.56364155
201,201,0.5636322
202,202,0.5636231
203,203,0.56361395
204,204,0.5636049
