,epochs,mu
0,0,0.7466856
1,1,0.7463181
2,2,0.7459606
3,3,0.7456142
4,4,0.74528015
5,5,0.74495864
6,6,0.7446474
7,7,0.744343
8,8,0.744043
9,9,0.7437452
10,10,0.7434481
11,11,0.7431517
12,12,0.7428583
13,13,0.7425713
14,14,0.7422948
15,15,0.7420344
16,16,0.741797
17,17,0.7415855
18,18,0.7413989
19,19,0.7412358
20,20,0.74109554
21,21,0.7409768
22,22,0.7408779
23,23,0.740797
24,24,0.74073285
25,25,0.74068445
26,26,0.74065
27,27,0.7406264
28,28,0.74060994
29,29,0.74059767
30,30,0.7405874
31,31,0.7405787
32,32,0.740572
33,33,0.7405684
34,34,0.74056965
35,35,0.7405771
36,36,0.74059224
37,37,0.7406163
38,38,0.74065036
39,39,0.74069494
40,40,0.7407499
41,41,0.74081427
42,42,0.74088633
43,43,0.7409642
44,44,0.7410465
45,45,0.74113226
46,46,0.7412209
47,47,0.74131167
48,48,0.74140364
49,49,0.7414959
50,50,0.74158764
51,51,0.7416787
52,52,0.7417688
53,53,0.74185765
54,54,0.7419447
55,55,0.74202913
56,56,0.7421105
57,57,0.74218833
58,58,0.7422625
59,59,0.7423328
60,60,0.7423993
61,61,0.74246204
62,62,0.74252146
63,63,0.74257797
64,64,0.7426319
65,65,0.7426835
66,66,0.7427326
67,67,0.74277925
68,68,0.7428234
69,69,0.74286515
70,70,0.7429042
71,71,0.74294025
72,72,0.742973
73,73,0.7430024
74,74,0.7430288
75,75,0.74305284
76,76,0.7430752
77,77,0.7430966
78,78,0.7431175
79,79,0.74313813
80,80,0.74315864
81,81,0.7431789
82,82,0.7431987
83,83,0.7432177
84,84,0.7432357
85,85,0.7432527
86,86,0.74326867
87,87,0.74328405
88,88,0.74329907
89,89,0.7433139
90,90,0.7433288
91,91,0.7433437
92,92,0.7433588
93,93,0.7433737
94,94,0.7433882
95,95,0.743402
96,96,0.74341494
97,97,0.7434271
98,98,0.74343854
99,99,0.74344945
100,100,0.74345994
101,101,0.7434702
102,102,0.7434802
103,103,0.7434902
104,104,0.74350023
105,105,0.7435103
106,106,0.7435203
107,107,0.7435302
108,108,0.74354005
109,109,0.74354976
110,110,0.74355936
111,111,0.74356896
112,112,0.7435785
113,113,0.7435881
114,114,0.7435977
115,115,0.74360734
116,116,0.7436169
117,117,0.7436263
118,118,0.7436354
119,119,0.7436443
120,120,0.7436528
121,121,0.7436611
122,122,0.74366915
123,123,0.743677
124,124,0.74368477
125,125,0.74369246
126,126,0.74369997
127,127,0.74370724
128,128,0.7437142
129,129,0.74372077
130,130,0.743727
131,131,0.7437328
132,132,0.74373823
133,133,0.7437433
134,134,0.743748
135,135,0.74375254
136,136,0.7437569
137,137,0.743761
138,138,0.74376494
139,139,0.7437687
140,140,0.7437723
141,141,0.7437758
142,142,0.74377906
143,143,0.7437823
144,144,0.7437853
145,145,0.7437883
146,146,0.7437912
147,147,0.74379396
148,148,0.7437967
149,149,0.74379927
150,150,0.7438018
151,151,0.74380416
152,152,0.7438065
153,153,0.74380875
154,154,0.743811
155,155,0.7438132
156,156,0.7438155
157,157,0.7438177
158,158,0.7438199
159,159,0.7438221
160,160,0.74382436
161,161,0.74382657
162,162,0.7438288
163,163,0.743831
164,164,0.7438332
165,165,0.74383545
166,166,0.74383765
167,167,0.74383986
168,168,0.74384207
169,169,0.7438443
170,170,0.7438465
171,171,0.7438486
172,172,0.7438508
173,173,0.743853
174,174,0.74385506
175,175,0.74385715
176,176,0.74385923
177,177,0.74386126
178,178,0.7438632
179,179,0.7438652
180,180,0.7438671
181,181,0.7438689
182,182,0.74387056
183,183,0.74387205
184,184,0.7438734
185,185,0.74387455
186,186,0.7438755
187,187,0.74387634
188,188,0.74387693
189,189,0.7438774
190,190,0.74387777
191,191,0.74387795
192,192,0.74387795
193,193,0.74387795
194,194,0.7438778
195,195,0.7438777
196,196,0.74387753
197,197,0.74387735
198,198,0.74387723
199,199,0.7438771
200,200,0.74387705
201,201,0.743877
202,202,0.743877
203,203,0.74387705
204,204,0.74387705
205,205,0.7438772
206,206,0.74387735
207,207,0.74387753
208,208,0.74387777
209,209,0.743878
210,210,0.7438783
211,211,0.74387866
212,212,0.743879
213,213,0.74387944
214,214,0.74387985
215,215,0.7438804
216,216,0.74388087
217,217,0.7438814
218,218,0.74388194
219,219,0.74388254
220,220,0.74388313
221,221,0.7438838
222,222,0.74388444
223,223,0.7438851
224,224,0.7438858
225,225,0.7438866
226,226,0.7438874
227,227,0.7438883
228,228,0.7438894
229,229,0.74389046
230,230,0.7438918
231,231,0.7438932
232,232,0.7438948
233,233,0.74389666
234,234,0.7438987
235,235,0.743901
236,236,0.7439036
237,237,0.74390644
238,238,0.74390966
239,239,0.7439133
240,240,0.7439173
241,241,0.74392176
242,242,0.74392647
243,243,0.74393123
244,244,0.7439358
245,245,0.74393994
246,246,0.7439434
247,247,0.7439461
248,248,0.743948
249,249,0.7439491
250,250,0.7439494
251,251,0.74394894
252,252,0.7439477
253,253,0.7439457
254,254,0.7439431
255,255,0.74393994
256,256,0.7439365
257,257,0.7439329
258,258,0.74392945
259,259,0.74392617
260,260,0.7439231
261,261,0.7439203
262,262,0.74391776
263,263,0.7439154
264,264,0.7439131
265,265,0.7439111
266,266,0.7439093
267,267,0.74390775
268,268,0.7439066
269,269,0.74390584
270,270,0.7439055
271,271,0.74390554
272,272,0.7439059
273,273,0.74390656
274,274,0.7439074
275,275,0.7439084
276,276,0.7439095
277,277,0.7439107
278,278,0.7439118
279,279,0.7439128
280,280,0.74391365
281,281,0.74391425
282,282,0.74391454
283,283,0.7439144
284,284,0.743914
285,285,0.74391335
286,286,0.74391246
287,287,0.74391127
288,288,0.7439099
289,289,0.74390835
290,290,0.7439066
291,291,0.7439048
292,292,0.7439029
293,293,0.743901
294,294,0.7438991
295,295,0.7438974
296,296,0.74389577
297,297,0.74389434
298,298,0.743893
299,299,0.74389195
300,300,0.7438912
301,301,0.74389064
302,302,0.7438904
303,303,0.7438905
304,304,0.74389094
305,305,0.74389184
306,306,0.743893
307,307,0.7438946
308,308,0.74389654
309,309,0.7438989
310,310,0.7439016
311,311,0.74390465
312,312,0.7439079
313,313,0.7439115
314,314,0.7439151
315,315,0.7439187
316,316,0.7439221
317,317,0.7439253
318,318,0.74392825
319,319,0.74393094
320,320,0.74393326
321,321,0.74393535
322,322,0.743937
323,323,0.7439384
324,324,0.74393946
325,325,0.74394023
326,326,0.7439409
327,327,0.7439413
328,328,0.7439416
329,329,0.74394166
330,330,0.74394155
331,331,0.74394125
332,332,0.7439407
333,333,0.74393994
334,334,0.743939
335,335,0.74393785
336,336,0.7439365
337,337,0.7439349
338,338,0.7439332
339,339,0.74393135
340,340,0.74392945
341,341,0.74392754
342,342,0.7439255
343,343,0.74392354
344,344,0.7439215
345,345,0.74391955
346,346,0.7439177
347,347,0.7439159
348,348,0.7439143
349,349,0.7439128
350,350,0.7439114
351,351,0.7439102
352,352,0.74390906
353,353,0.7439081
354,354,0.7439072
355,355,0.7439064
356,356,0.7439055
357,357,0.74390465
358,358,0.74390376
359,359,0.7439029
360,360,0.743902
361,361,0.7439012
362,362,0.74390036
363,363,0.74389964
364,364,0.7438989
365,365,0.7438984
366,366,0.7438979
367,367,0.7438977
368,368,0.7438976
369,369,0.7438978
370,370,0.7438982
371,371,0.74389875
372,372,0.74389946
373,373,0.74390036
374,374,0.7439014
375,375,0.74390256
376,376,0.7439038
377,377,0.7439052
378,378,0.74390656
379,379,0.7439079
380,380,0.7439093
381,381,0.7439107
382,382,0.743912
383,383,0.74391323
384,384,0.7439144
385,385,0.74391556
386,386,0.7439165
387,387,0.7439174
388,388,0.7439182
389,389,0.7439188
390,390,0.74391925
391,391,0.7439196
392,392,0.7439199
393,393,0.74392
394,394,0.7439201
395,395,0.74392
396,396,0.7439199
397,397,0.74391973
398,398,0.74391943
399,399,0.74391913
400,400,0.7439188
401,401,0.7439184
402,402,0.74391806
403,403,0.74391764
404,404,0.7439173
405,405,0.7439169
406,406,0.74391663
407,407,0.7439163
408,408,0.743916
409,409,0.74391574
410,410,0.7439155
411,411,0.7439153
412,412,0.74391514
413,413,0.743915
414,414,0.7439149
415,415,0.7439149
416,416,0.74391484
417,417,0.74391484
418,418,0.74391484
419,419,0.74391484
420,420,0.74391484
421,421,0.7439149
422,422,0.7439149
423,423,0.74391496
424,424,0.743915
425,425,0.743915
426,426,0.74391514
427,427,0.7439152
428,428,0.74391526
429,429,0.74391526
430,430,0.7439152
431,431,0.7439151
432,432,0.7439149
433,433,0.74391454
434,434,0.7439142
435,435,0.7439137
436,436,0.7439132
437,437,0.74391264
438,438,0.743912
439,439,0.7439113
440,440,0.7439107
441,441,0.74391
442,442,0.7439093
443,443,0.74390864
444,444,0.74390805
445,445,0.74390745
446,446,0.7439069
447,447,0.74390644
448,448,0.743906
449,449,0.74390566
450,450,0.7439054
451,451,0.74390525
452,452,0.7439052
453,453,0.7439051
454,454,0.7439051
455,455,0.7439052
456,456,0.7439053
457,457,0.7439054
458,458,0.74390554
459,459,0.7439057
460,460,0.7439059
461,461,0.7439061
462,462,0.7439062
463,463,0.7439064
464,464,0.7439065
465,465,0.74390656
466,466,0.7439067
467,467,0.74390674
468,468,0.74390674
469,469,0.74390674
470,470,0.7439067
471,471,0.7439066
472,472,0.74390656
473,473,0.74390644
474,474,0.7439063
475,475,0.7439062
476,476,0.743906
477,477,0.74390584
478,478,0.74390566
479,479,0.7439055
480,480,0.74390537
481,481,0.7439052
482,482,0.743905
483,483,0.7439048
484,484,0.74390465
485,485,0.7439045
486,486,0.7439043
487,487,0.7439041
488,488,0.74390393
489,489,0.7439038
